frame,posture_deg,posture_smooth,posture_vel,bending_deg,bending_smooth,bending_vel
0,47.18015505421127,46.542459699089115,0.9189902395733185,-0.4443343280994867,-0.9593861630400988,0.6658072245617008
1,46.45698595073109,46.57309270707489,0.9190850664003491,0.1273380846163974,-0.9371925888880421,0.6658838140033629
2,46.5439253606659,46.60373203684914,0.9193522815283472,0.11968195067122167,-0.914993908773208,0.6662718805895967
3,47.11913340424806,46.63438285917678,0.9197657262087588,-0.7317157685760236,-0.8927744635154024,0.6672835813605055
4,45.77873176984738,46.66504975192972,0.9203885906137188,0.9290300613878912,-0.8705083366825076,0.6690967249086971
5,46.093381253158675,46.69574209855103,0.9211611607038606,0.4614166526892092,-0.8481680151881559,0.6720028567185177
6,46.33478794102698,46.726460495976646,0.921862066371979,0.6208573237674102,-0.8257081462346064,0.6764643108377816
7,46.37483066687953,46.757199569642495,0.9223434924708585,0.5529247161309883,-0.8030703944656371,0.6828909333943528
8,45.81705486007129,46.78795006214137,0.9224903371819693,1.335578058436738,-0.7801820840083162,0.6916994718601083
9,46.12714215571328,46.818698925454626,0.9221013668914324,0.890046409223018,-0.7569570963416299,0.703406184557781
10,46.099488724269904,46.8494234866008,0.9209293710089028,0.8771121988600328,-0.7332883383711308,0.7185706034555495
11,46.258343503829614,46.88009421685522,0.9187599962908521,0.6999067024499794,-0.7090523894445933,0.7376771123376963
12,45.869655050143386,46.91067415302019,0.915389269821496,0.9945722241577784,-0.6841098642152844,0.7611746972139577
13,45.77801393069631,46.94112016817665,0.9105699337465367,1.254335282446874,-0.6583074096303294,0.7895224977242982
14,46.878737096413445,46.97137881526996,0.9039742293487407,-0.1992968768751382,-0.6314750310336645,0.8232545524665963
15,47.59238514058644,47.0013851167999,0.8954154238999479,-0.47367268631708725,-0.603423772799223,0.862719541917702
16,48.253473449537935,47.03107317686329,0.8849676244747684,-1.6266309843892088,-0.5739603949058177,0.9080010263017951
17,48.52606812250888,47.06038295843155,0.8729004880421698,-2.166791565342649,-0.54289037104577,0.9589617652779042
18,46.64278720263649,47.089266542732766,0.8596137393467629,0.1040688716547038,-0.5100296105539575,1.0152037462100292
19,47.228500567868785,47.11769054105467,0.8452589367363927,-0.7551158058418537,-0.4752101212984347,1.0765768090158947
20,49.471098505545875,47.14561713851519,0.8297861653804972,-2.939925350620925,-0.43825782328623114,1.143130648965068
21,49.45815334019902,47.173009618746704,0.8135577076457423,-3.0772729341380654,-0.39900141136743017,1.2144516394576637
22,47.885001728920265,47.19985431902491,0.7972591745283708,-1.5803430018902844,-0.3572943806557202,1.289769511148355
23,49.52078885429606,47.22616023038193,0.7813322554354585,-3.984956349033041,-0.3130167772908732,1.3685041283860897
24,47.84547848037075,47.25194313605394,0.7662200502014826,-2.334936140061714,-0.2660607720966476,1.4499275947005974
25,46.74156305176637,47.27724156706203,0.7523520357276325,-1.099205139709639,-0.2163549376441667,1.533186237158188
26,46.74773855887622,47.30209993843578,0.7397368154630612,-1.6676019002892986,-0.16384835628610173,1.6178411270957236
27,48.75184450219996,47.326557354759565,0.7282122978643812,-3.9909863396008376,-0.10849886250445179,1.7035373708190424
28,48.45200845052626,47.35064742496007,0.7179079916795317,-3.8401750176025047,-0.050279198231498894,1.7894740213855376
29,46.26664737513712,47.3744178875382,0.709199615544982,-1.353241371463156,0.01079940558791738,1.8745101770197878
30,48.00268479956893,47.39792739932974,0.7020862163554042,-3.2160729446600698,0.07468814690315362,1.957879435003621
31,48.3664723981059,47.42122363529523,0.6964929948565413,-3.773873422419527,0.14132470125482544,2.038889615148571
32,48.62706430998077,47.44436026565351,0.6926504406783351,-4.062770004641337,0.21061412124639167,2.116469174057418
33,48.74301398456811,47.46740033134045,0.6908749855011109,-4.365760056287385,0.28242264619198665,2.189400449933864
34,49.056759295898026,47.49041859802025,0.6915321870564739,-4.546681588056558,0.3565741512419826,2.256356784418871
35,46.740971776797316,47.513502477144215,0.6950446507648422,-2.197605371024096,0.4328464318199114,2.3159178557356284
36,46.04853655372394,47.53675490807124,0.7015304180745119,-0.9074654748234963,0.5109686749576912,2.3669633835255857
37,46.86606182309404,47.560271171682516,0.7106533101859114,-2.0119382172223936,0.5906439907216171,2.4088912887484604
38,46.112842199122106,47.584131795416965,0.7220887948713894,-1.139157016186715,0.6715614275409219,2.4411036366394927
39,48.20404942980755,47.60841042467394,0.7355148572502657,-4.930870692910474,0.75338423316425,2.462944158819692
40,46.031309376236194,47.63316611923365,0.7508012859821633,-3.4247072663617786,0.835757704795568,2.473298334794719
41,46.7234673949528,47.65846384373942,0.7677984540782035,-4.434132174150676,0.9182707888172312,2.4706873608932147
42,47.145748537278536,47.68435268283886,0.7861291253923852,-4.260704049026074,1.0004701955217823,2.4536817806257147
43,46.83102792176288,47.71087245209891,0.80557417198726,-3.515198102657081,1.081849574192279,2.4207033296365976
44,47.777457783906094,47.738057627638014,0.8259226671462017,-4.151157146469089,1.1618504174975555,2.370286066710708
45,47.66652654509772,47.76593396324199,0.8470496347776546,-1.0924734435832448,1.2398686453063261,2.3009563428941693
46,48.24972561372088,47.79452760328986,0.8689461516581787,-0.6664273309022235,1.3152475070238334,2.2115772763791353
47,47.8089409136072,47.82386370668587,0.8916651247016105,0.9275082141340931,1.3873071303982685,2.10150736251437
48,45.657611949200145,47.85397194493663,0.9152720238875744,4.11168575902245,1.4553479978581247,1.97038354830408
49,47.179391692433626,47.88488184161171,0.9394380261683466,4.429828215093366,1.5186660336185405,1.8185324643363088
50,47.14966852440985,47.91660114668119,0.9637316194765688,5.347909655837171,1.5765834954805453,1.6467820111895226
51,47.73088314625936,47.94913061624348,0.9879338510188518,5.995198806322421,1.6284515010311753,1.456125890888097
52,49.240205918077976,47.98246340341578,1.0118982221558426,5.243343580540099,1.6736585548730851,1.2477742544511783
53,46.6809581943313,48.016590497720536,1.0357793082915379,9.104605422250373,1.7116364513279205,1.0229072683781626
54,46.28776872638968,48.05151535730188,1.0595655270282833,10.175441741169237,1.7418523727649626,0.7831551055794705
55,46.55420619272117,48.08722819952242,1.0827959932942122,9.83926571676848,1.7638467916998852,0.5308712131927795
56,47.37239175410231,48.12370175685483,1.1049804696960308,7.257096253494666,1.7772437869778146,0.2685105202987592
57,46.265542558136055,48.16089356416882,1.1257792705922043,6.917499159240634,1.7817474930531358,-0.0019112717749159014
58,47.662404869296736,48.19875370822764,1.1447988311502755,5.965391660465571,1.7771163688594869,-0.27881559726399163
59,46.93925422320749,48.23721348624551,1.1616775517786948,8.859993792095707,1.7631597865688697,-0.5608159510240651
60,47.85754254317291,48.27619887834622,1.1761426664689623,7.219593334690487,1.7397286387912159,-0.8462342102690823
61,47.25848941283638,48.31562299734344,1.1879389103694749,8.874946763009447,1.706744172550931,-1.1332001897746025
62,46.499282805384595,48.35539480570419,1.1968468299844304,9.798001655208026,1.664181959472909,-1.4198330916366164
63,47.814364537404145,48.39541278600907,1.202433218717367,10.327708086342284,1.6120886331084898,-1.7038574684850682
64,48.50958563817361,48.435557020285344,1.2043356650011816,10.118115491292713,1.5505914615739045,-1.98276776835557
65,47.815382524169344,48.47570183034248,1.2024787738019782,12.14118106932014,1.4799041152181185,-2.253993946410339
66,48.88532202133589,48.51572227187214,1.1967753622903743,11.3744391002475,1.400325198479882,-2.514676633880385
67,48.20738728304007,48.55548685449517,1.1871821997717191,11.847491360313498,1.3122590062927595,-2.7617472987132565
68,48.78571578498919,48.594867751856924,1.1737024833739085,11.416913620904097,1.2162087118989982,-2.9921561519904616
69,49.45462620252146,48.6337336867201,1.1563128294173097,9.791537936097583,1.1127819294933954,-3.20281971016792
70,49.925930278872286,48.67195527381808,1.1351636861456527,7.348755559229687,1.0026873978878035,-3.390930552181617
71,51.308806754675146,48.709411265796476,1.1105635913301626,2.479327175031912,0.8867198926812876,-3.5542544506857165
72,51.197782262675354,48.74599284657342,1.0830855503949621,-0.7950785284383954,0.7657371011754224,-3.691610905624587
73,50.785705153822946,48.78161696915614,1.053480686635666,-2.9603374714932187,0.6406124989729818,-3.8029951895033065
74,51.05075184629857,48.81622489234913,1.0224115997260697,-3.781340813047308,0.5122040885418686,-3.889174869231638
75,50.669969265502175,48.84977774247121,0.990508581891838,-2.3980621377669706,0.38133417435753925,-3.951323875108354
76,49.66101470956065,48.88225879780859,0.9583745794835252,-0.715649813451563,0.24878249686797832,-3.9904939704352054
77,48.89145927038005,48.913669381103446,0.9263960622105927,0.6068536826250579,0.11530124299519223,-4.00724187149671
78,49.84908059647128,48.944018535289295,0.8946855302462708,-0.11917122522814338,-0.018366961231802315,-4.001637896662425
79,49.66896008853083,48.973315083119864,0.8633742657904975,-0.11608198488016797,-0.15147461678230276,-3.973623940742597
80,50.15326118718387,49.00157681967533,0.8327002978193221,-0.9626061483261594,-0.28327522394797544,-3.9232097306036136
81,48.06322499119566,49.02882843630782,0.8029383286359959,-0.26235792268501257,-0.413021932155877,-3.8504910214121275
82,48.61985994376426,49.055106041584395,0.7741160289194937,-1.6654826324203924,-0.5399746253754506,-3.755546427204812
83,48.30533871475871,49.08043617156912,0.7460250889879916,-1.3699436189546788,-0.6633916939695311,-3.6385209096193583
84,48.08157774340275,49.10484104751693,0.718485527855961,-2.7224755766415853,-0.7825426860167412,-3.4996869003563806
